name	charge	inchikey
Hydrogen sulfide	0	RWSOTUBLDIXVET-UHFFFAOYSA-N
L-Cysteine	0	XUJNEKJLAYXESH-REOHCLBHSA-N
Acetate	-1	QTBSBXVTEAMEQO-UHFFFAOYSA-M
4-Aminobutyrate	0	BTCSSZJGUNDROE-UHFFFAOYSA-N
4-Aminobutyrate	0	BTCSSZJGUNDROE-UHFFFAOYSA-N
Succinate semialdehyde	-1	UIUJIQZEACWQSV-UHFFFAOYSA-M
L-Glutamine	0	ZDXPYRJPNDTMRX-VKHMYHEASA-N
L-Threonine	0	AYFVYJQAPQTCCC-GBXIJSLDSA-N
Acetaldehyde	0	IKHGUXGNUITLKF-UHFFFAOYSA-N
Glycine	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N
Glyoxylate	-1	HHLFWLYXYJOTON-UHFFFAOYSA-M
Hydrogen peroxide	0	MHAJPDPJQMAIIY-UHFFFAOYSA-N
Glycine	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N
Hydroxypyruvate	-1	HHDDCCUIIUWNGJ-UHFFFAOYSA-N
5-Phosphoribosyl-ATP	-6	RKNHJBVBFHDXGR-KEOHHSTQSA-H
5-Phosphoribosyl-AMP	-4	RTQMRTSPTLIIHM-KEOHHSTQSA-N
1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	-4	QOUSHGMTBIIAHR-KEOHHSTQSA-N
5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide	-4	BLKFNHOCHNCLII-GHVQHMAVSA-N
Erythro-1-imidazol-4-glycerol 3-phosphate	-2	HFYBTHCYPKEDQQ-RITPCOANSA-N
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	-1	NOTGFIUVDGNKRI-UUOKFMHZSA-N
Imidazole acetol-phosphate	-2	YCFFMSOLUMRAMD-UHFFFAOYSA-N
L-histidinol phosphate	-1	CWNDERHTHMWBSI-YFKPBYRVSA-M
Histidinol	1	ZQISRDCJNBUVMM-UHFFFAOYSA-N
Histidinal	0	VYOIELONWKIZJS-YFKPBYRVSA-N
L-Histidine	0	HNDVDQJCIGZPNO-YFKPBYRVSA-N
L-Threonine	0	AYFVYJQAPQTCCC-GBXIJSLDSA-N
2-Oxobutanoate	-1	TYEYBOSBBBHJIV-UHFFFAOYSA-M
Thiamine diphosphate	-3	AYEKOFBPNLCAJY-UHFFFAOYSA-O
2-(alpha-Hydroxyethyl)thiamine diphosphate	-3	RRUVJGASJONMDY-UHFFFAOYSA-O
2-Aceto-2-hydroxybutanoate	-1	VUQLHQFKACOHNZ-UHFFFAOYSA-N
2,3-Dihydroxy-3-methylpentanoate	-1	PDGXJDXVGMHUIR-UHFFFAOYSA-N
3-Methyl-2-oxopentanoate	-1	JVQYSWDUAOAHFM-UHFFFAOYSA-M
L-Isoleucine	0	AGPKZVBTJJNPAG-WHFBIAKZSA-N
2-Acetolactate	-1	NMDWGEGFJUBKLB-UHFFFAOYSA-N
2,3-Dihydroxy-3-methylbutanoate	-1	JTEYKUFKXGDTEU-UHFFFAOYSA-M
3-Methyl-2-oxobutanoate	-1	QHKABHOOEWYVLI-UHFFFAOYSA-N
2-Isopropylmalate	-2	BITYXLXUCSKTJS-ZETCQYMHSA-N
2-Isopropylmaleate	-2	NJMGRJLQRLFQQX-HYXAFXHYSA-N
(2R,3S)-3-isopropylmalate	-2	RNQHMTFBUSSBJQ-CRCLSJGQSA-L
2-Isopropyl-3-oxosuccinate	-2	HIIZAGQWABAMRR-BYPYZUCNSA-N
4-Methyl-2-oxopentanoate	-1	BKAJNAXTPSGJCU-UHFFFAOYSA-N
L-Leucine	0	ROHFNLRQFUQHCH-YFKPBYRVSA-N
Aspartyl-4-phosphate	-2	IXZNKTPIYKDIGG-REOHCLBHSA-L
L-Aspartate 4-semialdehyde	0	HOSWPDPVFBCLSY-VKHMYHEASA-N
2,3-Dihydrodipicolinate	-2	UWOCFOFVIBZJGH-YFKPBYRVSA-N
2,3,4,5-Tetrahydrodipicolinate	-2	CXMBCXQHOXUCEO-BYPYZUCNSA-N
Diaminopimelate	0	GMKMEZVLHJARHF-UHFFFAOYSA-L
meso-Diaminopimelate	0	GMKMEZVLHJARHF-SYDPRGILSA-N
L-Lysine	1	KDXKERNSBIXSRK-YFKPBYRVSA-N
Homoserine	0	UKAUYVFTDYCKQA-UHFFFAOYSA-N
O-Phosphohomoserine	-2	FXDNYOANAXWZHG-VKHMYHEASA-N
Cystathionine	0	ILRYLPWNYFXEMH-UHFFFAOYSA-N
L-Homocysteine	0	FFFHZYDWPBMWHY-VKHMYHEASA-N
5,10-Methylenetetrahydrofolate	-1	QYNUQALWYRSVHF-ABLWVSNPSA-N
5-Methyltetrahydrofolate	-1	ZNOVTXRBGFNYRX-STQMWFEESA-N
L-Homocysteine	0	FFFHZYDWPBMWHY-VKHMYHEASA-N
L-Methionine	0	FFEARJCKVFRZRR-BYPYZUCNSA-N
Adenosylmethionine	0	MEFKEPWMEQBLKI-AIRLBKTGSA-N
Adenosylhomocysteine	0	ZJUKTBDSGOFHSH-WFMPWKQPSA-N
Prephenate	-2	FPWMCUPFBRFMLH-UHFFFAOYSA-N
L-Arogenate	-1	MIEILDYWGANZNH-DSQUFTABSA-M
L-Phenylalanine	0	COLNVLDHVKWLRT-QMMMGPOBSA-N
L-Arginine	1	ODKSFYDXXFIFQN-BYPYZUCNSA-N
L-Ornithine	1	AHLPHDHHMVZTML-BYPYZUCNSA-N
Urea	1	XSQUKJJJFZCRTK-UHFFFAOYSA-N
Glutamate 5-semialdehyde	0	KABXUUFDPUOJMW-BYPYZUCNSA-N
Glutamate 5-phosphate	-2	PJRXVIJAERNUIP-VKHMYHEASA-N
Glutamate 5-phosphate	-2	PJRXVIJAERNUIP-VKHMYHEASA-N
Glutamate 5-phosphate	-2	PJRXVIJAERNUIP-VKHMYHEASA-N
Glutamate 5-semialdehyde	0	KABXUUFDPUOJMW-BYPYZUCNSA-N
Glutamate 5-semialdehyde	0	KABXUUFDPUOJMW-BYPYZUCNSA-N
1-Pyrroline-5-carboxylate	-1	DWAKNKKXGALPNW-BYPYZUCNSA-N
1-Pyrroline-5-carboxylate	-1	DWAKNKKXGALPNW-BYPYZUCNSA-N
1-Pyrroline-5-carboxylate	-1	DWAKNKKXGALPNW-BYPYZUCNSA-N
L-Proline	0	ONIBWKKTOPOVIA-BYPYZUCNSA-N
L-Proline	0	ONIBWKKTOPOVIA-BYPYZUCNSA-N
3-Phosphohydroxypyruvate	-3	LFLUCDOSQPJJBE-UHFFFAOYSA-N
O-Phosphoserine	-2	BZQFBWGGLXLEPQ-REOHCLBHSA-N
Anthranilate	-1	RWZYAGGXGHYGMB-UHFFFAOYSA-N
5-Phosphoribosyl-anthranilate	-3	PMFMJXPRNJUYMB-GWOFURMSSA-K
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	-3	QKMBYNRMPRKVTO-MNOVXSKESA-N
Indole-glycerol 3-phosphate	-2	NQEQTYPJSIEPHW-MNOVXSKESA-L
Indole	0	SIKJAQJRHWYJAI-UHFFFAOYSA-N
L-Tryptophan	0	QIVBCDIJIAJPQS-VIFPVBQESA-N
L-Tyrosine	0	OUYCCCASQSFEME-QMMMGPOBSA-N
L-Valine	0	KZSNJWFQEVHDMF-BYPYZUCNSA-N
5-Phospho-beta-D-ribosylamine	-1	SKCBPEVYGOQGJN-TXICZTDVSA-N
5-Phospho-D-ribosylglycineamide	-1	OBQMLSFOUZUIOB-SHUUEZRQSA-M
